event_id,spatial_group,dist_to_facility,facility_category_encoded,peak_frp_mw,mean_frp_mw,frp_variance,max_brightness_k,duration_hours,day_night_ratio,historical_active_days_90d,historical_peak_frp,pct_cropland,pct_forest,pct_urban,is_industrial_zone,label,tier,label_source
EVT-IN-WES-15267852,54697ab4-b4a8-4687-a23a-ce6228a6aee9,360.37091135,27.0,5.3,2.8571428571428568,2.15405,296.84,83.95142031833333,0.0,0.0,0.0,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-2026-B37376,spatial_grid_19_155,29573.35763914,0.0,7.42,2.908,5.662056,318.87,5.433333333333334,0.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-TAM-A76ED611,spatial_grid_22_157,79686.75922629,0.0,14.75,14.75,0.0,354.25,146.2347536516667,1.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-2026-6B0F09,spatial_grid_19_155,29774.62895002,0.0,3.45,3.45,0.0,306.04,0.0,0.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-2026-19F433,d772f6ed-8427-4fe3-80af-34c1a71e8aad,891.78636828,32.0,3.11,1.848586789554532,0.4552592152199762,299.44,95.5,0.0,3.0,3.62,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-KAR-0014,2304b414-4617-410a-8e31-67ee87ab7f20,273.10643966,92.0,88.2,77.6,0.0,315.0,9.0,0.5,0.0,0.0,0.05,0.1,0.85,1.0,IND_FLARE,Tier_A_RuleDerived,elevated_industrial_flare
EVT-IN-KER-59D1DA72,spatial_grid_18_154,26636.07630017,0.0,1.74,1.35,0.1521,309.28,140.4847536516667,0.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-2026-857060,260c913d-b8b3-49bc-919f-7d880bcd2ff2,789.75940402,72.0,1.08,1.08,0.0,306.4,0.0,0.0,0.0,0.0,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-NON-7FB5A23A,bc41ddd9-9d85-4f06-8316-2d69368e2adb,1237.39342138,32.0,11.92,4.136638932496076,9.329981,328.52,70.43333333333334,0.35,3.0,11.92,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-2026-AB7777,d772f6ed-8427-4fe3-80af-34c1a71e8aad,1275.78492101,32.0,1.39,1.1966666666666668,0.0210249999999999,301.29,25.316666666666663,0.0,4.0,3.62,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-ODI-45682A9C,spatial_grid_41_170,11066.24724632,0.0,0.71,0.71,0.0,300.84,14.668086985,0.0,0.0,0.0,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-JHA-081F309A,spatial_grid_47_172,10574.14685642,0.0,5.56,4.85000000000002,1.0081999999999995,333.77,14.518086985,1.0,0.0,0.0,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-TAM-CF50276A,spatial_grid_24_156,37790.7373736,0.0,1.02,1.02,0.0,315.57,78.35142031833334,0.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-TAM-685EE99D,spatial_grid_17_155,16876.29293415,0.0,6.5,5.0600000000000005,2.0736,337.88,95.18475365166668,1.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-NON-23356FD2,bc41ddd9-9d85-4f06-8316-2d69368e2adb,991.34151834,32.0,11.92,3.955476518110796,13.422887326388889,344.97,5.648579681666667,0.4583333333333333,2.0,11.1,0.05,0.1,0.85,1.0,IND_FLARE,Tier_A_RuleDerived,elevated_industrial_flare
EVT-IN-TAM-5B4E1EAF,spatial_grid_17_155,8670.66141456,0.0,1.58,1.58,0.0,337.27,27.248579681666666,1.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-2026-3C7A4F,d26d71c2-2802-401c-871e-f542aa27e58d,2284.62124461,32.0,0.85,0.85,0.0,305.21,0.0,0.0,0.0,0.0,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-TAM-224B9701,spatial_grid_19_156,5695.08002418,0.0,5.4,5.4,0.0,339.46,59.081913015000005,1.0,0.0,0.0,0.1,0.05,0.85,0.0,OTHER_UNCERTAIN,Tier_B_HardNegative,hard_neg_urban_non_ind
EVT-IN-RAJ-AF513F80,7da57bf7-4f1f-4666-baad-99fff862c26a,205.45497171,45.0,0.32,0.32,0.0,299.11,0.731913015,0.0,0.0,0.0,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-TAM-54BFD6F0,spatial_grid_18_155,16927.68737717,0.0,15.58,11.096666666666666,10.078155555555556,350.7,71.18475365166667,1.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-TAM-6B181ADC,spatial_grid_20_156,13104.70888856,0.0,4.01,4.01,0.0,334.77,31.53475365166667,1.0,0.0,0.0,0.1,0.05,0.85,0.0,OTHER_UNCERTAIN,Tier_B_HardNegative,hard_neg_urban_non_ind
EVT-IN-TAM-1D0A1711,spatial_grid_19_156,10830.80301196,0.0,1.97,1.97,0.0,336.6,13.348579681666664,1.0,0.0,0.0,0.1,0.05,0.85,0.0,OTHER_UNCERTAIN,Tier_B_HardNegative,hard_neg_urban_non_ind
EVT-IN-TAM-2334F7E0,spatial_grid_19_155,30156.89827328,0.0,14.8,7.433000041484833,16.25854540816327,319.03,5.116666666666666,0.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-TAM-1E3255B3,spatial_grid_18_155,29685.2161136,0.0,12.51,12.509999992931265,14.402025,319.37,13.215246348333332,1.0,1.0,4.92,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-ASS-69B67A11,spatial_grid_56_191,85047.25168547,0.0,2.14,2.14,0.0,330.43,45.59857968166667,1.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-TAM-F9CD84DE,spatial_grid_21_154,13378.56263143,0.0,0.93,0.700952380952381,0.067664,305.55,65.718086985,0.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-TEL-A588E86A,e39b7708-069e-48bc-9acb-b8c0449ac22e,995.0439517,32.0,1.4,1.0,0.0828159999999999,313.21,50.34857968166667,0.0,1.0,1.22,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-RAJ-E963B238,15de79a7-adad-4f5e-8be4-8628c7eb6106,639.20146497,32.0,1.2,0.9773333333333332,0.031725,308.21,32.018086985000004,0.0,0.0,0.0,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-KAR-0009,cf1d64f9-1ef1-4679-a003-6132e5db576a,80.16188535,72.0,372.0,40.166250000000005,1.821724305555556,351.0,11.0,0.4166666666666667,3.0,7.11,0.05,0.1,0.85,1.0,IND_FIRE,Tier_A_RuleDerived,high_frp_industrial_fire
EVT-IN-TAM-F4FC628C,spatial_grid_18_155,23495.05162889,0.0,15.33,11.79,12.5316,348.33,19.334753651666663,1.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-KAR-19377294,2bf95443-7a06-492f-ad09-0b39c3674067,2088.39244597,32.0,0.78,0.6928571428571428,0.002256,309.09,11.965246348333332,0.0,0.0,0.0,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
