latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
8.54511,80.56976,330.72,0.41,0.37,2026-08-26,801,N,VIIRS,n,2.0NRT,293.93,4.23,D
8.66969,80.53839,341.19,0.41,0.37,2026-08-26,801,N,VIIRS,l,2.0NRT,299.17,11.4,D
8.69024,80.84766,336.1,0.4,0.37,2026-08-26,801,N,VIIRS,l,2.0NRT,298.49,4.04,D
8.77482,80.87483,340.62,0.4,0.37,2026-08-26,801,N,VIIRS,l,2.0NRT,296.31,6.12,D
8.87628,80.67516,349.07,0.4,0.37,2026-08-26,801,N,VIIRS,l,2.0NRT,295.63,21.83,D
8.99618,80.83887,341.16,0.4,0.37,2026-08-26,801,N,VIIRS,l,2.0NRT,300.2,7.74,D
9.00604,80.68044,342.47,0.4,0.37,2026-08-26,801,N,VIIRS,n,2.0NRT,296.42,7.86,D
9.04064,80.67525,336.15,0.4,0.37,2026-08-26,801,N,VIIRS,n,2.0NRT,297.39,4.64,D
9.07845,80.47284,330.08,0.41,0.37,2026-08-26,801,N,VIIRS,l,2.0NRT,293.53,1.79,D
9.15012,80.21935,335.19,0.42,0.37,2026-08-26,801,N,VIIRS,l,2.0NRT,296.34,6.6,D
9.34108,80.16885,334.89,0.42,0.37,2026-08-26,801,N,VIIRS,l,2.0NRT,299.04,4.26,D
9.38904,78.88414,334.56,0.47,0.4,2026-08-26,801,N,VIIRS,l,2.0NRT,299.26,5.44,D
9.38948,78.88505,336.31,0.47,0.4,2026-08-26,801,N,VIIRS,l,2.0NRT,299.69,6.1,D
9.6447,79.92132,332.66,0.42,0.38,2026-08-26,801,N,VIIRS,l,2.0NRT,297.66,4.9,D
9.80408,78.17467,337.02,0.5,0.41,2026-08-26,801,N,VIIRS,n,2.0NRT,296.81,4.0,D
9.90823,78.08034,333.85,0.51,0.41,2026-08-26,801,N,VIIRS,n,2.0NRT,295.48,5.5,D
9.90871,78.08326,333.9,0.51,0.41,2026-08-26,801,N,VIIRS,n,2.0NRT,295.44,5.83,D
10.05334,77.95324,348.01,0.51,0.41,2026-08-26,801,N,VIIRS,n,2.0NRT,296.96,10.17,D
12.13064,79.65323,333.44,0.41,0.37,2026-08-26,801,N,VIIRS,l,2.0NRT,306.63,24.35,D
13.84194,79.25305,330.21,0.41,0.37,2026-08-26,803,N,VIIRS,l,2.0NRT,296.56,5.29,D
14.2594,80.11615,332.94,0.39,0.36,2026-08-26,803,N,VIIRS,l,2.0NRT,301.84,5.44,D
14.25997,80.11976,330.87,0.39,0.36,2026-08-26,803,N,VIIRS,l,2.0NRT,302.06,9.65,D
15.17995,76.68201,334.96,0.51,0.41,2026-08-26,803,N,VIIRS,n,2.0NRT,296.78,3.33,D
15.90841,79.10486,332.68,0.4,0.37,2026-08-26,803,N,VIIRS,l,2.0NRT,300.64,3.57,D
16.40065,79.36692,335.87,0.39,0.36,2026-08-26,803,N,VIIRS,n,2.0NRT,297.3,4.44,D
17.95717,80.79728,333.75,0.39,0.36,2026-08-26,803,N,VIIRS,n,2.0NRT,296.44,3.39,D
18.54734,74.17914,332.83,0.42,0.45,2026-08-26,803,N,VIIRS,n,2.0NRT,294.44,5.43,D
21.10126,72.63638,355.87,0.47,0.48,2026-08-26,805,N,VIIRS,n,2.0NRT,294.3,11.1,D
21.10306,72.64542,336.67,0.47,0.48,2026-08-26,805,N,VIIRS,n,2.0NRT,293.41,4.7,D
21.74366,83.84032,332.06,0.53,0.42,2026-08-26,805,N,VIIRS,n,2.0NRT,291.1,5.71,D
21.74819,83.84499,338.5,0.53,0.42,2026-08-26,805,N,VIIRS,n,2.0NRT,294.05,5.71,D
21.75594,83.84392,339.67,0.53,0.42,2026-08-26,805,N,VIIRS,n,2.0NRT,293.25,10.06,D
22.35679,82.30565,330.32,0.45,0.39,2026-08-26,805,N,VIIRS,n,2.0NRT,295.09,5.19,D
25.21213,68.3015,334.66,0.36,0.57,2026-08-26,805,N,VIIRS,n,2.0NRT,299.45,2.42,D
26.53106,68.25273,331.86,0.34,0.56,2026-08-26,807,N,VIIRS,l,2.0NRT,303.06,1.97,D
28.51536,68.00385,338.07,0.32,0.55,2026-08-26,807,N,VIIRS,n,2.0NRT,301.92,1.93,D
28.51605,68.00181,336.73,0.32,0.55,2026-08-26,807,N,VIIRS,n,2.0NRT,301.55,1.59,D
30.37163,73.89048,336.49,0.44,0.38,2026-08-26,807,N,VIIRS,n,2.0NRT,302.65,4.25,D
30.37266,73.89281,332.4,0.44,0.38,2026-08-26,807,N,VIIRS,l,2.0NRT,302.55,4.26,D
31.608,74.33546,330.73,0.41,0.37,2026-08-26,807,N,VIIRS,l,2.0NRT,304.78,3.2,D
32.5758,72.56439,333.08,0.46,0.39,2026-08-26,807,N,VIIRS,l,2.0NRT,305.2,4.02,D
33.57693,74.22216,330.71,0.4,0.37,2026-08-26,807,N,VIIRS,n,2.0NRT,299.53,2.99,D
30.06765,96.97842,305.39,0.33,0.55,2026-08-26,1849,N,VIIRS,n,2.0NRT,286.67,1.22,N
22.47516,91.73235,303.45,0.58,0.7,2026-08-26,1851,N,VIIRS,n,2.0NRT,282.54,3.27,N
24.92307,92.52792,297.19,0.55,0.68,2026-08-26,1851,N,VIIRS,n,2.0NRT,284.62,4.53,N
35.96835,68.68652,304.54,0.55,0.68,2026-08-26,2029,N,VIIRS,n,2.0NRT,292.26,1.57,N
35.97722,79.17194,296.85,0.46,0.39,2026-08-26,2029,N,VIIRS,n,2.0NRT,274.87,0.62,N
29.39776,70.99824,307.06,0.35,0.57,2026-08-26,2032,N,VIIRS,n,2.0NRT,296.18,0.46,N
29.92137,74.95252,298.99,0.42,0.45,2026-08-26,2032,N,VIIRS,n,2.0NRT,282.32,0.96,N
32.29348,70.72976,309.52,0.39,0.59,2026-08-26,2032,N,VIIRS,n,2.0NRT,294.09,2.39,N
32.57602,72.56142,308.57,0.62,0.54,2026-08-26,2032,N,VIIRS,n,2.0NRT,297.06,4.27,N
32.88788,71.61542,314.24,0.35,0.57,2026-08-26,2032,N,VIIRS,n,2.0NRT,297.12,1.4,N
